clip_id,dasakam,verse,half,split,audio_path,text_devanagari,text_clean,text_model_kannada,slp1,duration_s,sample_rate,channels,bit_depth,analysis_issues
nar_012_007_2,12,7,2,train,/Users/shankararamasharma/Desktop/Vyoma Linguistic Labs/AI - AI Projects/Narayaneeyam/Dashakam 12/Narayaneeyam Dasakam 12.7.2.flac,तूर्णप्रदीर्णजलद: परिघूर्णदक्ष्णा स्तोतॄन् मुनीन् शिशिरयन्नवतेरिथ त्वम् ॥,तूर्णप्रदीर्णजलद: परिघूर्णदक्ष्णा स्तोतॄन् मुनीन् शिशिरयन्नवतेरिथ त्वम् ॥,ತೂರ್ಣಪ್ರದೀರ್ಣಜಲದಃ ಪರಿಘೂರ್ಣದಕ್ಷ್ಣಾ ಸ್ತೋತ್ರೂನ್ ಮುನೀನ್ ಶಿಶಿರಯನ್ನವತೇರಿಥ ತ್ವಮ್,tUrRapradIrRajaladaH pariGUrRadakzRA stotrUn munIn SiSirayannavateriTa tvam,11.444399,44100,2,16,
nar_013_006_1,13,6,1,train,/Users/shankararamasharma/Desktop/Vyoma Linguistic Labs/AI - AI Projects/Narayaneeyam/Dashakam 13/Narayaneeyam Dasakam 13.6.1.flac,तत: शूलं कालप्रतिमरुषि दैत्ये विसृजति त्वयिच्छिन्दत्येनत् करकलितचक्रप्रहरणात् ।,तत: शूलं कालप्रतिमरुषि दैत्ये विसृजति त्वयिच्छिन्दत्येनत् करकलितचक्रप्रहरणात् ।,ತತಃ ಶೂಲಂ ಕಾಲಪ್ರತಿಮರುಷಿ ದೈತ್ಯೇ ವಿಸೃಜತಿ ತ್ವಯಿಚ್ಛಿನ್ದತ್ಯೇನತ್ ಕರಕಲಿತಚಕ್ರಪ್ರಹರಣಾತ್,tataH SUlaM kAlapratimaruzi dEtye visfjati tvayicCindatyenat karakalitacakrapraharaRAt,14.072245,44100,2,16,
nar_014_005_1,14,5,1,train,/Users/shankararamasharma/Desktop/Vyoma Linguistic Labs/AI - AI Projects/Narayaneeyam/Dashakam 14/Narayaneeyam Dasakam 14.5.1.flac,स मनु: शतरूपया महिष्या गुणवत्या सुतया च देवहूत्या ।,स मनु: शतरूपया महिष्या गुणवत्या सुतया च देवहूत्या ।,ಸ ಮನುಃ ಶತರೂಪಯಾ ಮಹಿಷ್ಯಾ ಗುಣವತ್ಯಾ ಸುತಯಾ ಚ ದೇವಹೂತ್ಯಾ,sa manuH SatarUpayA mahizyA guRavatyA sutayA ca devahUtyA,8.428844,44100,2,16,low_peak
nar_015_003_2,15,3,2,train,/Users/shankararamasharma/Desktop/Vyoma Linguistic Labs/AI - AI Projects/Narayaneeyam/Dashakam 15/Narayaneeyam Dasakam 15.3.2.flac,मदनुभजनतत्त्वालोचनै: साऽप्यपेयात् कपिलतनुरिति त्वं देवहूत्यै न्यगादी: ॥,मदनुभजनतत्त्वालोचनै: साऽप्यपेयात् कपिलतनुरिति त्वं देवहूत्यै न्यगादी: ॥,ಮದನುಭಜನತತ್ತ್ವಾಲೋಚನೈಃ ಸಾಽಪ್ಯಪೇಯಾತ್ ಕಪಿಲತನುರಿತಿ ತ್ವಂ ದೇವಹೂತ್ಯೈ ನ್ಯಗಾದೀಃ,madanuBajanatattvAlocanEH sApyapeyAt kapilatanuriti tvaM devahUtyE nyagAdIH,12.7755,16000,2,16,low_peak;sample_rate_below_24khz
nar_016_002_2,16,2,2,train,/Users/shankararamasharma/Desktop/Vyoma Linguistic Labs/AI - AI Projects/Narayaneeyam/Dashakam 16/Narayaneeyam Dasakam 16.2.2.flac,यज्जन्मनि प्रमुदिताः कृततूर्यघोषाः पुष्पोत्करान् प्रववृषुर्नुनुवुः सुरौघाः ॥,यज्जन्मनि प्रमुदिताः कृततूर्यघोषाः पुष्पोत्करान् प्रववृषुर्नुनुवुः सुरौघाः ॥,ಯಜ್ಜನ್ಮನಿ ಪ್ರಮುದಿತಾಃ ಕೃತತೂರ್ಯಘೋಷಾಃ ಪುಷ್ಪೋತ್ಕರಾನ್ ಪ್ರವವೃಷುರ್ನುನುವುಃ ಸುರೌಘಾಃ,yajjanmani pramuditAH kftatUryaGozAH puzpotkarAn pravavfzurnunuvuH surOGAH,10.199116,44100,2,16,
nar_017_001_2,17,1,2,train,/Users/shankararamasharma/Desktop/Vyoma Linguistic Labs/AI - AI Projects/Narayaneeyam/Dashakam 17/Narayaneeyam Dasakam 17.1.2.flac,अन्या सुनीतिरिति भर्तुरनादृता सा त्वामेव नित्यमगतिः शरणं गताऽभूत् ॥,अन्या सुनीतिरिति भर्तुरनादृता सा त्वामेव नित्यमगतिः शरणं गताऽभूत् ॥,ಅನ್ಯಾ ಸುನೀತಿರಿತಿ ಭರ್ತುರನಾದೃತಾ ಸಾ ತ್ವಾಮೇವ ನಿತ್ಯಮಗತಿಃ ಶರಣಂ ಗತಾಽಭೂತ್,anyA sunItiriti BarturanAdftA sA tvAmeva nityamagatiH SaraRaM gatABUt,10.22839,44100,2,16,low_peak
nar_017_010_1,17,10,1,train,/Users/shankararamasharma/Desktop/Vyoma Linguistic Labs/AI - AI Projects/Narayaneeyam/Dashakam 17/Narayaneeyam Dasakam 17.10.1.flac,यक्षेण देव निहते पुनरुत्तमेऽस्मिन् यक्षैः स युद्धनिरतो विरतो मनूक्त्या ।,यक्षेण देव निहते पुनरुत्तमेऽस्मिन् यक्षैः स युद्धनिरतो विरतो मनूक्त्या ।,ಯಕ್ಷೇಣ ದೇವ ನಿಹತೇ ಪುನರುತ್ತಮೇಽಸ್ಮಿನ್ ಯಕ್ಷೈಃ ಸ ಯುದ್ಧನಿರತೋ ವಿರತೋ ಮನೂಕ್ತ್ಯಾ,yakzeRa deva nihate punaruttamesmin yakzEH sa yudDanirato virato manUktyA,11.740998,44100,2,16,
nar_018_008_2,18,8,2,train,/Users/shankararamasharma/Desktop/Vyoma Linguistic Labs/AI - AI Projects/Narayaneeyam/Dashakam 18/Narayaneeyam Dasakam 18.8.2.flac,रुन्धाने कमलभवे क्रतोः समाप्तौ साक्षात्त्वं मधुरिपुमैक्षथाः स्वयं स्वम् ॥,रुन्धाने कमलभवे क्रतोः समाप्तौ साक्षात्त्वं मधुरिपुमैक्षथाः स्वयं स्वम् ॥,ರುನ್ಧಾನೇ ಕಮಲಭವೇ ಕ್ರತೋಃ ಸಮಾಪ್ತೌ ಸಾಕ್ಷಾತ್ತ್ವಂ ಮಧುರಿಪುಮೈಕ್ಷಥಾಃ ಸ್ವಯಂ ಸ್ವಮ್,runDAne kamalaBave kratoH samAptO sAkzAttvaM maDuripumEkzaTAH svayaM svam,10.985442,44100,2,16,
nar_019_007_1,19,7,1,train,/Users/shankararamasharma/Desktop/Vyoma Linguistic Labs/AI - AI Projects/Narayaneeyam/Dashakam 19/Narayaneeyam Dasakam 19.7.1.flac,प्रचेतसां तावदयाचतामपि त्वमेव कारुण्यभराद्वरानदाः ।,प्रचेतसां तावदयाचतामपि त्वमेव कारुण्यभराद्वरानदाः ।,ಪ್ರಚೇತಸಾಂ ತಾವದಯಾಚತಾಮಪಿ ತ್ವಮೇವ ಕಾರುಣ್ಯಭರಾದ್ವರಾನದಾಃ,pracetasAM tAvadayAcatAmapi tvameva kAruRyaBarAdvarAnadAH,11.190159,44100,2,16,
nar_021_006_1,21,6,1,train,/Users/shankararamasharma/Desktop/Vyoma Linguistic Labs/AI - AI Projects/Narayaneeyam/Dashakam 21/Narayaneeyam Dasakam 21.6.1.flac,वर्षं हिरण्मयसमाह्वयमौत्तराहम् आसीनमद्रिधृतिकर्मठकामठाङ्गम् ।,वर्षं हिरण्मयसमाह्वयमौत्तराहम् आसीनमद्रिधृतिकर्मठकामठाङ्गम् ।,ವರ್ಷಂ ಹಿರಣ್ಮಯಸಮಾಹ್ವಯಮೌತ್ತರಾಹಮ್ ಆಸೀನಮದ್ರಿಧೃತಿಕರ್ಮಠಕಾಮಠಾಙ್ಗಮ್,varzaM hiraRmayasamAhvayamOttarAham AsInamadriDftikarmaWakAmaWANgam,11.624376,44100,2,16,low_peak
nar_022_005_1,22,5,1,train,/Users/shankararamasharma/Desktop/Vyoma Linguistic Labs/AI - AI Projects/Narayaneeyam/Dashakam 22/Narayaneeyam Dasakam 22.5.1.flac,अमुं च सम्पाश्य विकर्षतो भटान् विमुञ्चतेत्यारुरुधुर्बलादमी ।,अमुं च सम्पाश्य विकर्षतो भटान् विमुञ्चतेत्यारुरुधुर्बलादमी ।,ಅಮುಂ ಚ ಸಮ್ಪಾಶ್ಯ ವಿಕರ್ಷತೋ ಭಟಾನ್ ವಿಮುಞ್ಚತೇತ್ಯಾರುರುಧುರ್ಬಲಾದಮೀ,amuM ca sampASya vikarzato BawAn vimuYcatetyAruruDurbalAdamI,10.198798,44100,2,16,low_peak
nar_023_002_2,23,2,2,train,/Users/shankararamasharma/Desktop/Vyoma Linguistic Labs/AI - AI Projects/Narayaneeyam/Dashakam 23/Narayaneeyam Dasakam 23.2.2.flac,नैकत्रवासमृषये स मुमोच शापं भक्तोत्तमस्त्वृषिरनुग्रहमेव मेने ॥,नैकत्रवासमृषये स मुमोच शापं भक्तोत्तमस्त्वृषिरनुग्रहमेव मेने ॥,ನೈಕತ್ರವಾಸಮೃಷಯೇ ಸ ಮುಮೋಚ ಶಾಪಂ ಭಕ್ತೋತ್ತಮಸ್ತ್ವೃಷಿರನುಗ್ರಹಮೇವ ಮೇನೇ,nEkatravAsamfzaye sa mumoca SApaM Baktottamastvfziranugrahameva mene,11.109796,44100,2,16,
nar_023_011_2,23,11,2,train,/Users/shankararamasharma/Desktop/Vyoma Linguistic Labs/AI - AI Projects/Narayaneeyam/Dashakam 23/Narayaneeyam Dasakam 23.11.2.flac,दुष्टाशयेऽपि शुभदैव भवन्निषेवा तत्तादृशस्त्वमव मां पवनालयेश ॥,दुष्टाशयेऽपि शुभदैव भवन्निषेवा तत्तादृशस्त्वमव मां पवनालयेश ॥,ದುಷ್ಟಾಶಯೇಽಪಿ ಶುಭದೈವ ಭವನ್ನಿಷೇವಾ ತತ್ತಾದೃಶಸ್ತ್ವಮವ ಮಾಂ ಪವನಾಲಯೇಶ,duzwASayepi SuBadEva BavannizevA tattAdfSastvamava mAM pavanAlayeSa,11.413651,44100,2,16,
nar_024_009_1,24,9,1,train,/Users/shankararamasharma/Desktop/Vyoma Linguistic Labs/AI - AI Projects/Narayaneeyam/Dashakam 24/Narayaneeyam Dasakam 24.9.1.flac,पिता श‍ृण्वन्बालप्रकरमखिलं त्वत्स्तुतिपरं रुषान्धः प्राहैनं कुलहतक कस्ते बलमिति ।,पिता शृण्वन्बालप्रकरमखिलं त्वत्स्तुतिपरं रुषान्धः प्राहैनं कुलहतक कस्ते बलमिति ।,ಪಿತಾ ಶೃಣ್ವನ್ಬಾಲಪ್ರಕರಮಖಿಲಂ ತ್ವತ್ಸ್ತುತಿಪರಂ ರುಷಾನ್ಧಃ ಪ್ರಾಹೈನಂ ಕುಲಹತಕ ಕಸ್ತೇ ಬಲಮಿತಿ,pitA SfRvanbAlaprakaramaKilaM tvatstutiparaM ruzAnDaH prAhEnaM kulahataka kaste balamiti,12.719592,44100,2,16,
nar_025_008_1,25,8,1,train,/Users/shankararamasharma/Desktop/Vyoma Linguistic Labs/AI - AI Projects/Narayaneeyam/Dashakam 25/Narayaneeyam Dasakam 25.8.1.flac,तावन्मांसवपाकरालवपुषं घोरान्त्रमालाधरं त्वां मध्येसभमिद्धकोपमुषितं दुर्वारगुर्वारवम् ।,तावन्मांसवपाकरालवपुषं घोरान्त्रमालाधरं त्वां मध्येसभमिद्धकोपमुषितं दुर्वारगुर्वारवम् ।,ತಾವನ್ಮಾಂಸವಪಾಕರಾಲವಪುಷಂ ಘೋರಾನ್ತ್ರಮಾಲಾಧರಂ ತ್ವಾಂ ಮಧ್ಯೇಸಭಮಿದ್ಧಕೋಪಮುಷಿತಂ ದುರ್ವಾರಗುರ್ವಾರವಮ್,tAvanmAMsavapAkarAlavapuzaM GorAntramAlADaraM tvAM maDyesaBamidDakopamuzitaM durvAragurvAravam,16.089569,44100,2,16,
nar_026_006_2,26,6,2,train,/Users/shankararamasharma/Desktop/Vyoma Linguistic Labs/AI - AI Projects/Narayaneeyam/Dashakam 26/Narayaneeyam Dasakam 26.6.2.flac,प्राप्ते काले त्वत्पदैकाग्र्यसिद्‍ध्यै नक्राक्रान्तं हस्तिवर्यं व्यधास्त्वम् ॥,प्राप्ते काले त्वत्पदैकाग्र्यसिद्ध्यै नक्राक्रान्तं हस्तिवर्यं व्यधास्त्वम् ॥,ಪ್ರಾಪ್ತೇ ಕಾಲೇ ತ್ವತ್ಪದೈಕಾಗ್ರ್ಯಸಿದ್ಧ್ಯೈ ನಕ್ರಾಕ್ರಾನ್ತಂ ಹಸ್ತಿವರ್ಯಂ ವ್ಯಧಾಸ್ತ್ವಮ್,prApte kAle tvatpadEkAgryasidDyE nakrAkrAntaM hastivaryaM vyaDAstvam,11.464271,48000,2,16,
nar_027_005_2,27,5,2,train,/Users/shankararamasharma/Desktop/Vyoma Linguistic Labs/AI - AI Projects/Narayaneeyam/Dashakam 27/Narayaneeyam Dasakam 27.5.2.flac,प्रारब्धे मथनविधौ सुरासुरैस्तै: व्याजात्त्वं भुजगमुखेऽकरोस्सुरारीन् ॥,प्रारब्धे मथनविधौ सुरासुरैस्तै: व्याजात्त्वं भुजगमुखेऽकरोस्सुरारीन् ॥,ಪ್ರಾರಬ್ಧೇ ಮಥನವಿಧೌ ಸುರಾಸುರೈಸ್ತೈಃ ವ್ಯಾಜಾತ್ತ್ವಂ ಭುಜಗಮುಖೇಽಕರೋಸ್ಸುರಾರೀನ್,prArabDe maTanaviDO surAsurEstEH vyAjAttvaM BujagamuKekarossurArIn,10.644917,48000,2,16,
nar_028_003_2,28,3,2,train,/Users/shankararamasharma/Desktop/Vyoma Linguistic Labs/AI - AI Projects/Narayaneeyam/Dashakam 28/Narayaneeyam Dasakam 28.3.2.flac,अमलामवलोक्य यां विलोलः सकलोऽपि स्पृहयाम्बभूव लोकः ॥,अमलामवलोक्य यां विलोलः सकलोऽपि स्पृहयाम्बभूव लोकः ॥,ಅಮಲಾಮವಲೋಕ್ಯ ಯಾಂ ವಿಲೋಲಃ ಸಕಲೋಽಪಿ ಸ್ಪೃಹಯಾಮ್ಬಭೂವ ಲೋಕಃ,amalAmavalokya yAM vilolaH sakalopi spfhayAmbaBUva lokaH,8.671313,48000,2,16,
nar_029_002_1,29,2,1,train,/Users/shankararamasharma/Desktop/Vyoma Linguistic Labs/AI - AI Projects/Narayaneeyam/Dashakam 29/Narayaneeyam Dasakam 29.2.1.flac,श्यामां रुचापि वचसापि तनुं तदानीं प्राप्तोऽसि तुङ्गकुचमण्डलभङ्गुरां त्वम् ।,श्यामां रुचापि वचसापि तनुं तदानीं प्राप्तोऽसि तुङ्गकुचमण्डलभङ्गुरां त्वम् ।,ಶ್ಯಾಮಾಂ ರುಚಾಪಿ ವಚಸಾಪಿ ತನುಂ ತದಾನೀಂ ಪ್ರಾಪ್ತೋಽಸಿ ತುಙ್ಗಕುಚಮಣ್ಡಲಭಙ್ಗುರಾಂ ತ್ವಮ್,SyAmAM rucApi vacasApi tanuM tadAnIM prAptosi tuNgakucamaRqalaBaNgurAM tvam,11.920063,48000,2,16,
nar_031_001_1,31,1,1,train,/Users/shankararamasharma/Desktop/Vyoma Linguistic Labs/AI - AI Projects/Narayaneeyam/Dashakam 31/Narayaneeyam Dasakam 31.1.1.flac,प्रीत्या दैत्यस्तव तनुमहःप्रेक्षणात्सर्वथाऽपि त्वामाराध्यन्नजित रचयन्नञ्जलिं सञ्जगाद ।,प्रीत्या दैत्यस्तव तनुमहःप्रेक्षणात्सर्वथाऽपि त्वामाराध्यन्नजित रचयन्नञ्जलिं सञ्जगाद ।,ಪ್ರೀತ್ಯಾ ದೈತ್ಯಸ್ತವ ತನುಮಹಃಪ್ರೇಕ್ಷಣಾತ್ಸರ್ವಥಾಽಪಿ ತ್ವಾಮಾರಾಧ್ಯನ್ನಜಿತ ರಚಯನ್ನಞ್ಜಲಿಂ ಸಞ್ಜಗಾದ,prItyA dEtyastava tanumahaHprekzaRAtsarvaTApi tvAmArADyannajita racayannaYjaliM saYjagAda,12.50625,48000,2,16,
